,Additive + MinMax,Additive + Standarization,Additive + Target,Geometric + MinMax,Geometric + Standarization,Geometric + Target,Harmonic + MinMax,Harmonic + Standarization,Harmonic + Target
MULTIFORM,0.9954167166065377,0.9991439594992412,0.883798763427827,1.0,1.0,0.9390637959730062,1.0,1.0,0.9710624075926779
MULTIFORM,0.9977186747735174,1.0,0.8753244454594177,1.0,1.0,0.9265639676275871,1.0,1.0,0.963070507806261
MULTIFORM,0.9985370141202968,1.0,0.8925341135472961,1.0,1.0,0.947129684196416,1.0,1.0,0.9785125542033781
MULTIFORM,1.0,1.0,0.8900336988596963,1.0,1.0,0.9458407121406596,1.0,1.0,0.9796037250459737
MULTIFORM,0.9882427355090051,0.9938054508134408,0.8786841700205655,1.0,1.0,0.9298124285565267,1.0,1.0,0.9631051407784759
MULTIFORM,1.0,1.0,0.8902827940843434,1.0,1.0,0.9474353255878435,1.0,1.0,0.9796415723889884
MULTIFORM,1.0,1.0,0.8912653809746571,1.0,1.0,0.9509811803828598,1.0,1.0,0.9818740986493903
MULTIFORM,0.9860558944055894,0.9924645423847979,0.8779647796373459,1.0,1.0,0.9279229187802767,1.0,1.0,0.9616663270649964
MULTIFORM,0.9907466530297581,0.9956801408013568,0.8889613400519668,1.0,1.0,0.9407923230946084,1.0,1.0,0.9722834489514112
MULTIFORM,1.0,1.0,0.8836323708065255,1.0,1.0,0.9403139324111531,1.0,1.0,0.9756990552862427
MULTIFORM,1.0,1.0,0.8881842876900081,1.0,1.0,0.945505434209058,1.0,1.0,0.9778213861297468
MULTIFORM,0.9897465694787522,0.9960030195934314,0.8890301162561957,1.0,1.0,0.9392404828283452,1.0,1.0,0.9716875705415016
MULTIFORM,0.9946122657192119,1.0,0.8752483195451544,1.0,1.0,0.926508369498106,1.0,1.0,0.9623550189612856
MULTIFORM,0.9850844384178665,0.989543610345193,0.8813468584685377,1.0,1.0,0.9322672170834443,1.0,1.0,0.9638796098591612
MULTIFORM,1.0,0.972268263665773,0.8884206611421893,1.0,1.0,0.9453546569014242,1.0,1.0,0.9799111000034358
MULTIFORM,0.9916027804570691,0.9969645672174003,0.8910335586415364,1.0,1.0,0.9423203368410505,1.0,1.0,0.9741312526187793
MULTIFORM,0.9887874767805003,0.9935545020748892,0.8846561931734314,1.0,1.0,0.9363453186162063,1.0,1.0,0.9680745241844964
MULTIFORM,0.9854773913742505,0.9887101972225139,0.8747513649896026,1.0,0.9987783373483767,0.9273574691928141,1.0,1.0,0.9591995840860271
MULTIFORM,1.0,1.0,0.8883989966080406,1.0,1.0,0.9421921773743397,1.0,1.0,0.9753493355795011
MULTIFORM,0.986523449005448,0.992614629581553,0.8904068654037324,1.0,1.0,0.9393376635278233,1.0,1.0,0.9716010387946157
MULTIFORM,1.0,0.9766930954153428,0.8710189397356468,1.0,1.0,0.9248839566556125,1.0,1.0,0.9634903052748188
MULTIFORM,1.0,1.0,0.8860885273704598,1.0,1.0,0.941852531695126,1.0,1.0,0.9757436092670984
MULTIFORM,0.9959670439937699,1.0,0.8857445671098102,1.0,1.0,0.937775474881113,1.0,1.0,0.9711426554646767
MULTIFORM,1.0,1.0,0.8834258231592533,1.0,1.0,0.935215284842574,1.0,1.0,0.9702388163899399
MULTIFORM,0.9972246276894694,1.0,0.8885898684810087,1.0,1.0,0.9415192515595701,1.0,1.0,0.9741187316029324
MULTIFORM,0.9957655136500561,1.0,0.8906437929217872,1.0,1.0,0.9448593872637938,1.0,1.0,0.9760601660882143
MULTIFORM,1.0,1.0,0.8808640428442513,1.0,1.0,0.9352660710263215,1.0,1.0,0.9700164212030893
MULTIFORM,0.985860230622428,0.9934963334166187,0.8735377476689278,1.0,1.0,0.9225926395984563,1.0,1.0,0.9581274943449434
MULTIFORM,0.9747192899904061,0.9794928059397073,0.868902128492076,0.9981465622004004,0.9942666909650725,0.9172725899535125,1.0,1.0,0.9498897234478911
MULTIFORM,0.9916584970924837,0.9954825356998787,0.8906646953989815,1.0,1.0,0.9440957501091014,1.0,1.0,0.9745361418918767
MULTIFORM,1.0,1.0,0.8845492863506865,1.0,1.0,0.9429549480156295,1.0,1.0,0.9765339973867806
MULTIFORM,0.9949039834814629,0.99933953102472,0.8922851843792594,1.0,1.0,0.9460640817350382,1.0,1.0,0.9770403727880487
MULTIFORM,1.0,0.9832458119841141,0.8793426727098054,1.0,1.0,0.931851715630352,1.0,1.0,0.9681775236990822
MULTIFORM,0.9873433038590723,0.9918209074518946,0.8786544997031895,1.0,1.0,0.9304897465077062,1.0,1.0,0.962872589798146
MULTIFORM,1.0,0.9652990697253079,0.8760221716030991,1.0,1.0,0.9299695054024225,1.0,1.0,0.9674436044408399
MULTIFORM,0.9914378134667156,0.9964928094527198,0.8929746322515624,1.0,1.0,0.9445778570929149,1.0,1.0,0.9759056541063424
MULTIFORM,0.9888593069830769,0.9939843285046477,0.8710321829866902,1.0,1.0,0.9229674195539778,1.0,1.0,0.9577005757859375
MULTIFORM,1.0,1.0,0.8876881853117691,1.0,1.0,0.9393651882321628,1.0,1.0,0.9736336073237187
MULTIFORM,1.0,1.0,0.8876590564676498,1.0,1.0,0.9429319092834927,1.0,1.0,0.9760599251398637
MULTIFORM,0.990579531057174,0.9949880434440601,0.8895245490446767,1.0,1.0,0.941954942231619,1.0,1.0,0.9728875037907389
MULTIFORM,0.9954233710287086,1.0,0.8894693500086653,1.0,1.0,0.9396237904954076,1.0,1.0,0.9734540148038651
MULTIFORM,0.9932282798255212,0.9984418447911549,0.8815130627534674,1.0,1.0,0.9345084684215877,1.0,1.0,0.9674881103878773
MULTIFORM,0.9966641655809493,1.0,0.8842987200360856,1.0,1.0,0.9403770334965252,1.0,1.0,0.972347554995999
MULTIFORM,1.0,1.0,0.8736255721829463,1.0,1.0,0.9301905457235572,1.0,1.0,0.9673491446709009
MULTIFORM,1.0,0.9900227441659297,0.8917764342578522,1.0,1.0,0.9483158689709835,1.0,1.0,0.9819678028302029
MULTIFORM,1.0,0.9272181876328343,0.8894896467180708,1.0,1.0,0.9480056305721536,1.0,1.0,0.9821184533805329
MULTIFORM,0.9736218636706567,0.9802525075896998,0.8760625289094794,1.0,0.9992792254533681,0.9222467212066056,1.0,1.0,0.9555638721163205
MULTIFORM,1.0,1.0,0.8802267068137286,1.0,1.0,0.9325212122603943,1.0,1.0,0.9679950324856751
MULTIFORM,0.991386923851589,0.9972117945763892,0.8862951974976988,1.0,1.0,0.9376429628996407,1.0,1.0,0.9701585102178167
MULTIFORM,1.0,1.0,0.8833535158036091,1.0,1.0,0.9409457078719048,1.0,1.0,0.9755648061186162
MULTIFORM,1.0,1.0,0.8923626077082729,1.0,1.0,0.9475457488402768,1.0,1.0,0.9803709112584251
MULTIFORM,0.9920984138778993,1.0,0.8867133486786788,1.0,1.0,0.9357972444160193,1.0,1.0,0.9701247237490441
MULTIFORM,0.95932587653326,0.9665647149117484,0.8672083414485365,0.9914732229338705,0.9880943891381156,0.9106039048646168,1.0,1.0,0.9437264714040156
MULTIFORM,0.9734666042907646,0.9805940863420636,0.8786984814051996,1.0,0.9999715107097671,0.9244928278753943,1.0,1.0,0.9576593359097225
MULTIFORM,0.9910748280456777,0.99523729656692,0.8905176773530441,1.0,1.0,0.9431959343029437,1.0,1.0,0.973940463579804
MULTIFORM,0.9971309665855024,1.0,0.8830016338660651,1.0,1.0,0.9380750674162045,1.0,1.0,0.9707985095895082
MULTIFORM,0.9880659299679618,0.9932214995699273,0.8843598337501923,1.0,1.0,0.9356271436443332,1.0,1.0,0.967536411253928
MULTIFORM,0.9960763540021503,0.9984040023795917,0.8857450749010106,1.0,1.0,0.9430015254664804,1.0,1.0,0.9742181264066961
MULTIFORM,1.0,1.0,0.8887273605202374,1.0,1.0,0.9414197696703335,1.0,1.0,0.9754185219029619
MULTIFORM,1.0,1.0,0.8875677155543553,1.0,1.0,0.9416883183462202,1.0,1.0,0.9760950408824118
MULTIFORM,0.9885419436123897,0.9972015210532804,0.8684815986082152,1.0,1.0,0.9177594114246909,1.0,1.0,0.9551502559930003
MULTIFORM,0.9790645503052284,0.9849539581550959,0.882233773586753,1.0,1.0,0.9298578214080243,1.0,1.0,0.96215365769721
MULTIFORM,1.0,1.0,0.8701618204868256,1.0,1.0,0.9283215860736327,1.0,1.0,0.9681030966548072
MULTIFORM,0.9917859322432385,0.9991175760518898,0.8884971409776217,1.0,1.0,0.9381758899291245,1.0,1.0,0.9716633662057313
MULTIFORM,0.9883620089643876,0.9926358906167355,0.8861813830633568,1.0,1.0,0.9379460317650141,1.0,1.0,0.9691138690054675
MULTIFORM,1.0,1.0,0.8746815586089374,1.0,1.0,0.9304928887131231,1.0,1.0,0.9660223651928217
MULTIFORM,0.9981730250781546,1.0,0.8915863516143359,1.0,1.0,0.9424434667071467,1.0,1.0,0.9760443357970897
MULTIFORM,1.0,1.0,0.8928183257104577,1.0,1.0,0.9511647252141809,1.0,1.0,0.983694498411489
MULTIFORM,0.9995097865403808,1.0,0.881281663920294,1.0,1.0,0.9331138181598837,1.0,1.0,0.9682634708401986
MULTIFORM,1.0,1.0,0.8928460234361476,1.0,1.0,0.9471776261162006,1.0,1.0,0.9791449202517264
MULTIFORM,1.0,1.0,0.8884651568386265,1.0,1.0,0.947591281361456,1.0,1.0,0.9792341287308838
MULTIFORM,1.0,1.0,0.8918817537471766,1.0,1.0,0.944312925354835,1.0,1.0,0.9773664173903216
MULTIFORM,0.9883795543156163,0.99287674483066,0.8834251939706163,1.0,1.0,0.9354558501665138,1.0,1.0,0.9670503043871114
MULTIFORM,0.9670559349748898,0.9722723079674063,0.8666767381548304,0.9924899207432824,0.9892730938253955,0.9127706950547281,1.0,1.0,0.9451530051761411
MULTIFORM,1.0,1.0,0.8832432117145026,1.0,1.0,0.9364769675034262,1.0,1.0,0.970724954223132
MULTIFORM,1.0,1.0,0.8795259523710205,1.0,1.0,0.9360313920566382,1.0,1.0,0.9720595314886361
MULTIFORM,1.0,0.9603002703027561,0.8801837575475235,1.0,1.0,0.9353193929102963,1.0,1.0,0.9719110032321518
MULTIFORM,0.9740492029123923,0.9796375476893039,0.8764815919104805,1.0,0.9966071511478982,0.9234602551724732,1.0,1.0,0.9556583234603033
MULTIFORM,0.9891968655999436,0.9952451880351398,0.8919123027579283,1.0,1.0,0.9416455928268536,1.0,1.0,0.973877808789718
MULTIFORM,0.9893458554874242,0.9961256931453665,0.8868587889839294,1.0,1.0,0.9364259718618945,1.0,1.0,0.9696035124080838
MULTIFORM,0.9623422269892237,0.968267693921552,0.8669710168446396,0.9895708132228068,0.9870478329846839,0.9116788806349337,1.0,1.0,0.9437737711504289
MULTIFORM,0.9737437465281344,0.9801201278255472,0.8805077879005223,1.0,0.9990374977396541,0.9262781899243253,1.0,1.0,0.9589121769950663
MULTIFORM,1.0,1.0,0.8894733242205961,1.0,1.0,0.945698139377384,1.0,1.0,0.979208088804157
MULTIFORM,0.9823623323095967,0.9875470518413287,0.8823421242266258,1.0,1.0,0.931660293001531,1.0,1.0,0.9634844906435275
MULTIFORM,0.9928372588512019,1.0,0.8809365102501121,1.0,1.0,0.9313368712177732,1.0,1.0,0.9660188680410278
MULTIFORM,1.0,0.9553348278255539,0.8848477908876798,1.0,1.0,0.9405930493784856,1.0,1.0,0.976077585397307
MULTIFORM,1.0,1.0,0.8620325241915494,1.0,1.0,0.9161100462791518,1.0,1.0,0.9564140791445939
MULTIFORM,0.9802176613308515,0.9861340934395532,0.8813380060399292,1.0,1.0,0.9294898802385914,1.0,1.0,0.9619288100156241
MULTIFORM,0.9997766945135583,1.0,0.8852690483201436,1.0,1.0,0.936657501523699,1.0,1.0,0.9712815255066849
MULTIFORM,0.9941385855131308,1.0,0.8791633076522696,1.0,1.0,0.9304680939343933,1.0,1.0,0.9652606642323033
MULTIFORM,1.0,1.0,0.8807785781987212,1.0,1.0,0.9367836337590292,1.0,1.0,0.9730815613661599
MULTIFORM,0.9826866157415902,0.9886102718722768,0.8749181476798419,1.0,1.0,0.9244466085497314,1.0,1.0,0.9580486867196862
MULTIFORM,1.0,1.0,0.8864222187507551,1.0,1.0,0.9403695247036491,1.0,1.0,0.9746441783795151
MULTIFORM,0.9949512107921964,1.0,0.8826528124522104,1.0,1.0,0.9360261048349079,1.0,1.0,0.9690091072449716
MULTIFORM,0.9735029745647954,0.977829405770338,0.8693184481833667,0.9948179459552124,0.9918617598247859,0.9176772464519768,1.0,1.0,0.9494125004551607
MULTIFORM,0.9905023773467246,0.9971199811767947,0.8901906717505318,1.0,1.0,0.9400552571059796,1.0,1.0,0.9728078634219387
MULTIFORM,0.9918748524500823,0.9958540437030937,0.8913256052617595,1.0,1.0,0.944633841321333,1.0,1.0,0.9751342736106123
MULTIFORM,0.9898897175074175,0.9968939587179955,0.8867825313973031,1.0,1.0,0.9365906884340992,1.0,1.0,0.9697990271548653
MULTIFORM,0.9850597698618652,0.990314504169237,0.8854170503419486,1.0,1.0,0.9354089240696208,1.0,1.0,0.9670611682373612
MULTIFORM,0.9938063688582004,0.9974568898766893,0.891655795261358,1.0,1.0,0.9459782208331273,1.0,1.0,0.9764120728476398
