,Additive + MinMax,Additive + Standarization,Additive + Target,Geometric + MinMax,Geometric + Standarization,Geometric + Target,Harmonic + MinMax,Harmonic + Standarization,Harmonic + Target
NURESYS,1.0,1.0,1.0,0.9857261782733667,0.9907991911370758,1.0,0.952702692429289,0.9808723797514323,1.0
NURESYS,1.0,0.9935749532687858,1.0,0.9643448901333399,0.9764991760906981,1.0,0.915873775530491,0.9633763468926194,1.0
NURESYS,1.0,0.9966326637274427,1.0,0.9774986461517766,0.9850261822268643,1.0,0.9394759940170682,0.9739131316633883,1.0
NURESYS,0.9840870208588213,0.9755326713366794,1.0,0.9474192185538817,0.9602315765602447,1.0,0.901354070663923,0.9506022928501427,1.0
NURESYS,1.0,1.0,1.0,0.9847341444005919,0.9915873964866411,1.0,0.943178446453155,0.9784606705521,1.0
NURESYS,0.9939644951514013,0.9887928520849742,1.0,0.9695608000802226,0.9775649476891038,1.0,0.9313187064956198,0.9677822260542333,1.0
NURESYS,0.9996898618196678,0.9977455219499433,1.0,0.9895245824651919,0.9923780391786062,1.0,0.9687373665963972,0.9862921326420319,1.0
NURESYS,1.0,1.0,1.0,0.9838995572394447,0.9917548043838748,1.0,0.9400764322141149,0.9777734605114006,1.0
NURESYS,1.0,1.0,1.0,0.9844969860281773,0.9909095445775179,1.0,0.9450404336291568,0.9783832011628091,1.0
NURESYS,0.9801183452165156,0.971274453949284,1.0,0.9431524456381365,0.957459034670361,1.0,0.8975628406080056,0.9488267277348351,1.0
NURESYS,0.9962512773952439,0.9917203153095515,1.0,0.9746857433414201,0.9809589713673382,1.0,0.9388942171535674,0.9709245429046931,1.0
NURESYS,1.0,1.0,1.0,0.9803574378998574,0.9887925510029986,1.0,0.936850803611519,0.9748488191859105,1.0
NURESYS,1.0,0.9976168528303002,1.0,0.9706619771880322,0.9814503380134488,1.0,0.9239727373973208,0.9680944930724441,1.0
NURESYS,1.0,1.0,1.0,0.9920785144745873,0.9972234228122947,1.0,0.9542758289401072,0.9845024927474747,1.0
NURESYS,0.9729677162291777,0.9358432602337151,1.0,0.931929659216418,0.9456964659135692,1.0,0.8852602465679437,0.9384173115961515,1.0
NURESYS,1.0,1.0,1.0,0.9814895906526132,0.988268615823998,1.0,0.9397887797950515,0.9750098751307654,1.0
NURESYS,1.0,1.0,1.0,0.9872508292107554,0.9931774108509613,1.0,0.9484878553786972,0.9806990039396943,1.0
NURESYS,1.0,1.0,1.0,0.9977459498048262,1.0,1.0,0.9673402156011742,0.9909583035043064,1.0
NURESYS,0.9979299250939851,0.9912039006422894,1.0,0.9669578480898832,0.9759309353349875,1.0,0.9228351802687487,0.9639232397856178,1.0
NURESYS,1.0,1.0,1.0,0.9838173246799852,0.9913519896872923,1.0,0.9399386840605493,0.9768197299570219,1.0
NURESYS,0.9885165327406259,0.9561096385948171,1.0,0.9490819568100753,0.9626502782429561,1.0,0.9010958082887107,0.9526435003248083,1.0
NURESYS,0.9913084728217441,0.9843292398192769,1.0,0.9601638541775972,0.9705087040308756,1.0,0.9166795361623108,0.9600393114387828,1.0
NURESYS,1.0,0.9973591733567443,1.0,0.97282700044379,0.9817458261311883,1.0,0.9282195086747556,0.9688230623544832,1.0
NURESYS,0.9987751667078832,0.9901237653714285,1.0,0.9609135910160466,0.9715116943705563,1.0,0.9122701844361957,0.9586903450690748,1.0
NURESYS,1.0,0.9967548216627025,1.0,0.9740615751691691,0.9820269314708586,1.0,0.9313251156331213,0.9695735746534648,1.0
NURESYS,1.0,0.9998413772585183,1.0,0.9820508827525128,0.9879654430942387,1.0,0.9452297640213391,0.9767791302958377,1.0
NURESYS,0.9967194169666163,0.9898983803158038,1.0,0.9659712821283184,0.9757840322837528,1.0,0.9223532588419575,0.9645077230806512,1.0
NURESYS,1.0,1.0,1.0,0.9790901499661713,0.9881845547919197,1.0,0.9312517876352483,0.9733588420566472,1.0
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,0.9637507686445469,0.9920915088910275,1.0
NURESYS,1.0,1.0,1.0,0.9886092945189628,0.9937087166823865,1.0,0.9546497267161649,0.9829012838333451,1.0
NURESYS,0.9936218290531638,0.9892028096541368,1.0,0.9728360906764312,0.9797661428377588,1.0,0.9382028253443088,0.9711203614587479,1.0
NURESYS,1.0,1.0,1.0,0.9827226510000261,0.9892782051976681,1.0,0.946179045781811,0.9780608063330244,1.0
NURESYS,0.9938788797905364,0.9679598905090341,1.0,0.9538219474043996,0.9672764475093595,1.0,0.9049314938425083,0.9557062359506944,1.0
NURESYS,1.0,1.0,1.0,0.990086874284426,0.9954841319584977,1.0,0.9527756828145331,0.9833543683575361,1.0
NURESYS,0.9867744404458106,0.9429640006058095,1.0,0.9461805823480104,0.9600605181547437,1.0,0.8978241105234817,0.9503272807198854,1.0
NURESYS,1.0,1.0,1.0,0.9834074461582669,0.9904289974672283,1.0,0.9440529851594917,0.9777742814670005,1.0
NURESYS,1.0,1.0,1.0,0.9862515375988534,0.9926088771087282,1.0,0.9468056103289085,0.9803036026372521,1.0
NURESYS,0.9987143582866332,0.9903185685333542,1.0,0.9613512214287472,0.9716489061265208,1.0,0.9129221886817599,0.9585796978056236,1.0
NURESYS,0.9953060056629338,0.989062044289657,1.0,0.9664131424917414,0.9759430352982662,1.0,0.9243324986739322,0.9650109089457034,1.0
NURESYS,1.0,1.0,1.0,0.9871506533725527,0.9929521996184807,1.0,0.9504215087213659,0.9812018943473284,1.0
NURESYS,1.0,0.9967224880228557,1.0,0.9683359277862356,0.9790527081495365,1.0,0.9203385471322014,0.9649574824945579,1.0
NURESYS,1.0,1.0,1.0,0.9816166097679377,0.9888099983863534,1.0,0.9422257245025563,0.9769493150412177,1.0
NURESYS,1.0,0.9999091273076957,1.0,0.9859067514735304,0.9904696696421144,1.0,0.9545192335531383,0.9807141824578047,1.0
NURESYS,0.990505335060997,0.9839059208167901,1.0,0.961743957031275,0.9711159152380121,1.0,0.9200020603994175,0.9612569820590809,1.0
NURESYS,0.9768914409143967,0.9577359952662999,1.0,0.9373810870288348,0.9522180875889011,1.0,0.8909748670990559,0.9440962427707891,1.0
NURESYS,0.9665584359842384,0.8866008307276658,1.0,0.9260125511554238,0.9421743718633147,1.0,0.8807546867025271,0.9368807018116568,1.0
NURESYS,1.0,1.0,1.0,0.9943506123784736,1.0,1.0,0.9477845683460155,0.9841761351313055,1.0
NURESYS,0.9986479550065083,0.9903166146744996,1.0,0.962032777363864,0.9737976001958295,1.0,0.9145005827872914,0.9614073504684537,1.0
