,Additive + MinMax,Additive + Standarization,Additive + Target,Geometric + MinMax,Geometric + Standarization,Geometric + Target,Harmonic + MinMax,Harmonic + Standarization,Harmonic + Target
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
