,Flow (m3/day),Operation cost (USD/year),Capital cost (USD)
0,0.1,287.422569456,4140.970961218656
1,5.1,287.422569456,4140.970961218656
2,10.1,287.422569456,4140.970961218656
3,15.1,287.422569456,4140.970961218656
4,20.1,287.422569456,4140.970961218656
5,25.1,287.422569456,4140.970961218656
6,30.1,287.422569456,4140.970961218656
7,35.1,287.422569456,4140.970961218656
8,40.1,287.422569456,4140.970961218656
9,45.1,431.133854184,8430.77070556717
10,50.1,431.133854184,8430.77070556717
11,55.1,431.133854184,8430.77070556717
12,60.1,431.133854184,8430.77070556717
13,65.1,431.133854184,8430.77070556717
14,70.1,431.133854184,8430.77070556717
15,75.1,431.133854184,8430.77070556717
16,80.1,431.133854184,8430.77070556717
17,85.1,862.267708368,11176.585791219151
18,90.1,862.267708368,11176.585791219151
19,95.1,862.267708368,11176.585791219151
20,100.1,862.267708368,11176.585791219151
21,105.1,862.267708368,11176.585791219151
22,110.1,862.267708368,11176.585791219151
23,115.1,862.267708368,11176.585791219151
24,120.1,862.267708368,11176.585791219151
25,125.1,862.267708368,11176.585791219151
26,130.1,862.267708368,11176.585791219151
27,135.1,862.267708368,11176.585791219151
28,140.1,862.267708368,11176.585791219151
29,145.1,862.267708368,11176.585791219151
30,150.1,862.267708368,11176.585791219151
31,155.1,862.267708368,11176.585791219151
32,160.1,862.267708368,11176.585791219151
33,165.1,862.267708368,11176.585791219151
34,170.1,862.267708368,11176.585791219151
35,175.1,862.267708368,11176.585791219151
36,180.1,862.267708368,11176.585791219151
37,185.1,862.267708368,11176.585791219151
38,190.1,862.267708368,11176.585791219151
39,195.1,1221.5459201879999,22353.171582438303
40,200.1,1221.5459201879999,22353.171582438303
41,205.1,1221.5459201879999,22353.171582438303
42,210.1,1221.5459201879999,22353.171582438303
43,215.1,1221.5459201879999,22353.171582438303
44,220.1,1221.5459201879999,22353.171582438303
45,225.1,1221.5459201879999,22353.171582438303
46,230.1,1221.5459201879999,22353.171582438303
47,235.1,1221.5459201879999,22353.171582438303
48,240.1,1221.5459201879999,22353.171582438303
49,245.1,1221.5459201879999,22353.171582438303
50,250.1,1221.5459201879999,22353.171582438303
51,255.1,1221.5459201879999,22353.171582438303
52,260.1,1221.5459201879999,22353.171582438303
53,265.1,1221.5459201879999,22353.171582438303
54,270.1,1221.5459201879999,22353.171582438303
55,275.1,1221.5459201879999,22353.171582438303
56,280.1,1221.5459201879999,22353.171582438303
57,285.1,1221.5459201879999,22353.171582438303
58,290.1,1221.5459201879999,22353.171582438303
59,295.1,1221.5459201879999,22353.171582438303
60,300.1,1221.5459201879999,22353.171582438303
61,305.1,1221.5459201879999,22353.171582438303
62,310.1,1221.5459201879999,22353.171582438303
63,315.1,1221.5459201879999,22353.171582438303
64,320.1,1221.5459201879999,22353.171582438303
65,325.1,1221.5459201879999,22353.171582438303
66,330.1,1221.5459201879999,22353.171582438303
67,335.1,1221.5459201879999,22353.171582438303
68,340.1,1221.5459201879999,22353.171582438303
69,345.1,1221.5459201879999,22353.171582438303
70,350.1,1221.5459201879999,22353.171582438303
71,355.1,1221.5459201879999,22353.171582438303
72,360.1,1221.5459201879999,22353.171582438303
73,365.1,1221.5459201879999,22353.171582438303
74,370.1,1221.5459201879999,22353.171582438303
75,375.1,1221.5459201879999,22353.171582438303
76,380.1,1221.5459201879999,22353.171582438303
77,385.1,1940.1023438280001,33529.75737365745
78,390.1,1940.1023438280001,33529.75737365745
79,395.1,1940.1023438280001,33529.75737365745
80,400.1,1940.1023438280001,33529.75737365745
81,405.1,1940.1023438280001,33529.75737365745
82,410.1,1940.1023438280001,33529.75737365745
83,415.1,1940.1023438280001,33529.75737365745
84,420.1,1940.1023438280001,33529.75737365745
85,425.1,1940.1023438280001,33529.75737365745
86,430.1,1940.1023438280001,33529.75737365745
87,435.1,1940.1023438280001,33529.75737365745
88,440.1,1940.1023438280001,33529.75737365745
89,445.1,1940.1023438280001,33529.75737365745
90,450.1,1940.1023438280001,33529.75737365745
91,455.1,1940.1023438280001,33529.75737365745
92,460.1,1940.1023438280001,33529.75737365745
93,465.1,1940.1023438280001,33529.75737365745
94,470.1,1940.1023438280001,33529.75737365745
95,475.1,1940.1023438280001,33529.75737365745
96,480.1,1940.1023438280001,33529.75737365745
97,485.1,1940.1023438280001,33529.75737365745
98,490.1,1940.1023438280001,33529.75737365745
99,495.1,1940.1023438280001,33529.75737365745
100,500.1,1940.1023438280001,33529.75737365745
101,505.1,1940.1023438280001,33529.75737365745
102,510.1,1940.1023438280001,33529.75737365745
103,515.1,1940.1023438280001,33529.75737365745
104,520.1,1940.1023438280001,33529.75737365745
105,525.1,1940.1023438280001,33529.75737365745
106,530.1,1940.1023438280001,33529.75737365745
107,535.1,1940.1023438280001,33529.75737365745
108,540.1,1940.1023438280001,33529.75737365745
109,545.1,1940.1023438280001,33529.75737365745
110,550.1,1940.1023438280001,33529.75737365745
111,555.1,1940.1023438280001,33529.75737365745
112,560.1,1940.1023438280001,33529.75737365745
113,565.1,1940.1023438280001,33529.75737365745
114,570.1,1940.1023438280001,33529.75737365745
115,575.1,3736.493402928,35417.23252466594
116,580.1,3736.493402928,35417.23252466594
117,585.1,3736.493402928,35417.23252466594
118,590.1,3736.493402928,35417.23252466594
119,595.1,3736.493402928,35417.23252466594
120,600.1,3736.493402928,35417.23252466594
121,605.1,3736.493402928,35417.23252466594
122,610.1,3736.493402928,35417.23252466594
123,615.1,3736.493402928,35417.23252466594
124,620.1,3736.493402928,35417.23252466594
125,625.1,3736.493402928,35417.23252466594
126,630.1,3736.493402928,35417.23252466594
127,635.1,3736.493402928,35417.23252466594
128,640.1,3736.493402928,35417.23252466594
129,645.1,3736.493402928,35417.23252466594
130,650.1,3736.493402928,35417.23252466594
131,655.1,3736.493402928,35417.23252466594
132,660.1,3736.493402928,35417.23252466594
133,665.1,3736.493402928,35417.23252466594
134,670.1,3736.493402928,35417.23252466594
135,675.1,3736.493402928,35417.23252466594
136,680.1,3736.493402928,35417.23252466594
137,685.1,3736.493402928,35417.23252466594
138,690.1,3736.493402928,35417.23252466594
139,695.1,3736.493402928,35417.23252466594
140,700.1,3736.493402928,35417.23252466594
141,705.1,3736.493402928,35417.23252466594
142,710.1,6107.72960094,53125.848786998904
143,715.1,6107.72960094,53125.848786998904
144,720.1,6107.72960094,53125.848786998904
145,725.1,6107.72960094,53125.848786998904
146,730.1,6107.72960094,53125.848786998904
147,735.1,6107.72960094,53125.848786998904
148,740.1,6107.72960094,53125.848786998904
149,745.1,6107.72960094,53125.848786998904
150,750.1,6107.72960094,53125.848786998904
151,755.1,6107.72960094,53125.848786998904
152,760.1,6107.72960094,53125.848786998904
153,765.1,6107.72960094,53125.848786998904
154,770.1,6107.72960094,53125.848786998904
155,775.1,6107.72960094,53125.848786998904
156,780.1,6107.72960094,53125.848786998904
157,785.1,6107.72960094,53125.848786998904
158,790.1,6107.72960094,53125.848786998904
