HUC_8,CHLX_RESULT (average chlorophyll-a concentration in water in the watershed)  (ug/L),PTL (average phosphorus concentration in water in the watershed)  (ug/L),TSI (dimensionless metric)
1010002,3.3560000000000003,,42.477455426214654
1010003,2.8886857143,,41.006463976042454
1010004,4.9220000000000015,,46.23434367881456
1020001,2.1705,,38.202333621981175
1020002,9.504,,52.68930220130504
1020003,3.0906666665,,41.669474677864216
1020004,7.768,,50.71062489100233
1020005,1.355,,33.58029226699363
1030001,3.740833333333333,,43.54241543348729
1030002,2.902,,41.05157551527218
1030003,7.3900000000000015,,50.221253079958686
1040001,4.549,,45.461241874446976
1040002,2.532,,39.713583237005736
1050001,2.186,,38.27213995349015
1050002,2.2419714286000003,,38.52015824821496
1050003,2.27,,38.64204014694938
1060001,1.925,,37.02482374352692
1060002,4.783,,45.95331673368896
1060003,4.836,,46.06142262030248
1070002,5.071666666666666,,46.52819774281889
1070003,3.0659111111111113,,41.59058237243367
1070004,2.09,,37.831579487231615
1070005,14.94,,57.126653782902835
1070006,18.564,,59.2572096117273
1080101,2.8375,,40.83107838534178
1080102,0.328,,19.66438421143368
1080103,0.8415,,28.907095506903982
1080104,1.31,,33.248966216060126
1080202,4.308857142857144,,44.929199234904004
1080203,4.39,,45.11221971772426
1080204,7.848615384666668,,50.81190726607673
1080205,9.9886666665,,53.17723545714371
1080206,5.126666666666666,,46.63401017576611
1080207,1.55,,34.89928087243464
1090002,12.741619047571428,,55.5652112507491
1090003,4.376,,45.08088498882406
1090004,6.735941880533332,,49.312159533903426
1090005,8.854000000000003,,51.99432816958061
1100001,10.856,,53.9940828200445
1100002,7.0508571428571445,,49.76039355371336
1100003,1.26,,32.867205982650816
1100005,8.451076923076922,,51.53742296050882
1110000,2.6862619047500003,,40.29375739287145
2010000,1.68,,35.689367113402795
2010001,3.032,,41.48147240892303
2010002,2.2825,,38.69591178150734
2010003,9.504,,52.68930220130504
2010005,5.49375,,47.31242471884775
2010006,3.27,,42.22278975195889
2010008,5.882095238000001,,47.98246683834998
2020001,7.115555555666669,,49.8499992790256
2020002,1.6909999999999998,,35.75338988588031
2020003,2.18,,38.24517704141779
2020006,1.88,,36.792776130818616
2020007,49.228,,68.82429778531197
2030101,41.6,,67.17266264089142
2030103,72.6512857142857,,72.64243336577128
2030104,33.44,,65.03067485240388
2030105,6.4700000000000015,,48.91699762451066
2040101,17.383333333333336,,58.61257166815877
2040104,6.7650000000000015,,49.354387786519204
2040105,25.917261905,,62.5306595416205
2040106,4.9125,,46.215391006286666
2040201,17.285,,58.5569213097949
2040202,12.5535,,55.419295204468824
2040205,67.33555555499998,,71.89704331662445
2040207,96.98285714285716,,75.47618081983127
2040302,2.6735238095,,40.24712830867469
2050101,4.28,,44.86327902411425
2050103,92.0,,74.9587459408511
2050105,5.137777778,,46.65524854776804
2050106,14.3425,,56.726258415015046
2050107,8.19,,51.229585338055436
