HUC_8,CHLX_RESULT,TSI,PTL,UID,CHLL_DILUTION_FACTOR,CHLL_EXTRACT,CHLL_HOLDING_TIME,CHLL_MDL,CHLL_RESULT,CHLL_RL,CHLL_SAMPLEVOL,CHLL_VOLUME_ADJUST,CHLX_DILUTION_FACTOR,CHLX_EXTRACT,CHLX_HOLDING_TIME,CHLX_MDL,CHLX_RL,CHLX_SAMPLEVOL,CHLX_VOLUME_ADJUST,LAT_DD83,LON_DD83,TSI_y,_merge,Trophic Class
01010002,3.356,42.477455426214654,,,,,,,,,,,,,,,,,,,,,,Mesotrophic
01010003,2.8886857143,41.006463976042454,,,,,,,,,,,,,,,,,,,,,,Mesotrophic
01010004,4.922000000000001,46.23434367881456,,,,,,,,,,,,,,,,,,,,,,Mesotrophic
01020001,2.1704999999999997,38.20233362198118,,,,,,,,,,,,,,,,,,,,,,Oligotrophic
01020002,9.504,52.68930220130504,,,,,,,,,,,,,,,,,,,,,,Eutrophic
01020003,3.0906666664999998,41.66947467786422,,,,,,,,,,,,,,,,,,,,,,Mesotrophic
01020004,7.768,50.710624891002325,,,,,,,,,,,,,,,,,,,,,,Eutrophic
01020005,1.355,33.58029226699363,,,,,,,,,,,,,,,,,,,,,,Oligotrophic
01030001,3.7408333333333332,43.54241543348729,,,,,,,,,,,,,,,,,,,,,,Mesotrophic
01030002,2.9019999999999997,41.051575515272184,,,,,,,,,,,,,,,,,,,,,,Mesotrophic
01030003,7.390000000000001,50.221253079958686,,,,,,,,,,,,,,,,,,,,,,Eutrophic
01040001,4.5489999999999995,45.461241874446976,,,,,,,,,,,,,,,,,,,,,,Mesotrophic
01040002,2.532,39.713583237005736,,,,,,,,,,,,,,,,,,,,,,Oligotrophic
01050001,2.186,38.27213995349015,,,,,,,,,,,,,,,,,,,,,,Oligotrophic
01050002,2.2419714286,38.52015824821496,,,,,,,,,,,,,,,,,,,,,,Oligotrophic
01050003,2.27,38.642040146949384,,,,,,,,,,,,,,,,,,,,,,Oligotrophic
01060001,1.925,37.02482374352692,,,,,,,,,,,,,,,,,,,,,,Oligotrophic
01060002,4.783,45.95331673368895,,,,,,,,,,,,,,,,,,,,,,Mesotrophic
01060003,4.836,46.06142262030248,,,,,,,,,,,,,,,,,,,,,,Mesotrophic
01070002,5.071666666666666,46.52819774281889,,,,,,,,,,,,,,,,,,,,,,Mesotrophic
01070003,3.065911111111111,41.59058237243367,,,,,,,,,,,,,,,,,,,,,,Mesotrophic
01070004,2.09,37.83157948723162,,,,,,,,,,,,,,,,,,,,,,Oligotrophic
01070005,14.94,57.12665378290283,,,,,,,,,,,,,,,,,,,,,,Eutrophic
01070006,18.564,59.257209611727305,,,,,,,,,,,,,,,,,,,,,,Eutrophic
01080101,2.8375,40.83107838534178,,,,,,,,,,,,,,,,,,,,,,Mesotrophic
01080102,0.32799999999999996,19.664384211433685,,,,,,,,,,,,,,,,,,,,,,Oligotrophic
01080103,0.8415,28.907095506903982,,,,,,,,,,,,,,,,,,,,,,Oligotrophic
01080104,1.31,33.248966216060126,,,,,,,,,,,,,,,,,,,,,,Oligotrophic
01080202,4.308857142857143,44.929199234904,,,,,,,,,,,,,,,,,,,,,,Mesotrophic
01080203,4.39,45.11221971772426,,,,,,,,,,,,,,,,,,,,,,Mesotrophic
01080204,7.848615384666668,50.81190726607673,,,,,,,,,,,,,,,,,,,,,,Eutrophic
01080205,9.9886666665,53.17723545714371,,,,,,,,,,,,,,,,,,,,,,Eutrophic
01080206,5.126666666666666,46.6340101757661,,,,,,,,,,,,,,,,,,,,,,Mesotrophic
01080207,1.55,34.89928087243464,,,,,,,,,,,,,,,,,,,,,,Oligotrophic
01090002,12.741619047571428,55.5652112507491,,,,,,,,,,,,,,,,,,,,,,Eutrophic
01090003,4.3759999999999994,45.08088498882406,,,,,,,,,,,,,,,,,,,,,,Mesotrophic
01090004,6.735941880533333,49.312159533903426,,,,,,,,,,,,,,,,,,,,,,Mesotrophic
01090005,8.854000000000001,51.994328169580605,,,,,,,,,,,,,,,,,,,,,,Eutrophic
01100001,10.856,53.9940828200445,,,,,,,,,,,,,,,,,,,,,,Eutrophic
01100002,7.0508571428571445,49.76039355371336,,,,,,,,,,,,,,,,,,,,,,Mesotrophic
01100003,1.26,32.86720598265082,,,,,,,,,,,,,,,,,,,,,,Oligotrophic
01100005,8.451076923076922,51.53742296050882,,,,,,,,,,,,,,,,,,,,,,Eutrophic
01110000,2.68626190475,40.293757392871456,,,,,,,,,,,,,,,,,,,,,,Mesotrophic
02010000,1.68,35.689367113402795,,,,,,,,,,,,,,,,,,,,,,Oligotrophic
02010001,3.032,41.48147240892303,,,,,,,,,,,,,,,,,,,,,,Mesotrophic
02010002,2.2825,38.69591178150734,,,,,,,,,,,,,,,,,,,,,,Oligotrophic
02010003,9.504,52.68930220130504,,,,,,,,,,,,,,,,,,,,,,Eutrophic
02010005,5.49375,47.31242471884775,,,,,,,,,,,,,,,,,,,,,,Mesotrophic
02010006,3.27,42.222789751958885,,,,,,,,,,,,,,,,,,,,,,Mesotrophic
02010008,5.882095238000001,47.98246683834998,,,,,,,,,,,,,,,,,,,,,,Mesotrophic
