HUC_8,P_emitted (kg/year),P_emittedManure  (kg/year),P_emittedFertilizer  (kg/year),P_uptake  (kg/year),P_balance  (kg/year),P_TES (dimensionless metric),P Saturation
1010001,165662.014884928,11238.857425657,154423.157459271,675635.904059275,-509973.889174347,3.07839965322517,Not saturated
1010002,26016.5032176226,1916.98453067027,24099.5186869524,2562009.2816784,-2535992.77846078,97.4763117567234,Not saturated
1010003,195698.387345547,11975.5551406917,183722.832204855,1023203.18637017,-827504.799024625,4.22847019972366,Not saturated
1010004,695624.892869588,43381.7535814629,652243.139288125,19131048.384398,-18435423.4915284,26.5019605832084,Not saturated
1010005,347509.685851846,21265.4864526441,326244.199399201,2602242.04103924,-2254732.3551874,6.48825758528256,Not saturated
1020001,7020.67528255769,4563.58874309021,2457.08653946749,10934182.2856031,-10927161.6103206,1556.42600897213,Not saturated
1020002,3990.45324105279,2746.15084483287,1244.30239621992,5805836.65060142,-5801846.19736037,1453.9316330467,Not saturated
1020003,78056.5467677608,11349.8893896233,66706.6573781375,3525359.60746547,-3447303.06069771,44.1641758884666,Not saturated
1020004,24826.9916279834,13314.3214268115,11512.670201172,3671779.77959272,-3646952.78796474,146.894671839907,Not saturated
1020005,128372.461037825,102399.570029861,25972.8910079645,2019384.68269021,-1891012.22165239,14.7306689173404,Not saturated
1030001,6642.04567762957,5444.37332845808,1197.6723491715,8214910.89558509,-8208268.84990747,1235.8043362383,Not saturated
1030002,3832.95546653655,3373.12082141929,459.834645117266,9819400.65228186,-9815567.69681533,2560.83530907408,Not saturated
1030003,1142362.43136734,1111649.01757302,30713.41379432,21615483.003908,-20473120.5725407,17.9217383296084,Not saturated
1040001,13032.8447521254,10420.124506415,2612.7202457104,8537883.12350913,-8524850.27875701,654.105104518091,Not saturated
1040002,230965.277735644,200591.697653192,30373.5800824513,4056802.88098457,-3825837.60324893,16.5645574120794,Not saturated
1050001,3643.46092164654,468.095137139589,3175.36578450696,2498129.48266785,-2494486.0217462,684.647393066838,Not saturated
1050002,38491.948418002,24970.6715090694,13521.2769089326,3171378.75815389,-3132886.80973588,81.390704770629,Not saturated
1050003,88883.0130101211,85403.6555687271,3479.35744139405,2585382.22053132,-2496499.2075212,28.0874727686934,Not saturated
1050004,16.4271862862837,4.02140522729223,12.4057810589914,21089645.640347,-21089629.2131607,1283824.8039331,Not saturated
1060001,27354.6860357557,16414.1000029295,10940.5860328262,5296473.02604213,-5269118.34000638,192.622146462184,Not saturated
1060002,43317.4952774449,29484.9218500519,13832.573427393,8311500.52999317,-8268183.03471573,190.873987098255,Not saturated
1060003,67315.2830175729,38483.4227784432,28831.8602391296,20047976.8637602,-19980661.5807426,296.82206900217,Not saturated
1070001,41158.668698299,35480.6940993507,5677.97459894827,324336632.535179,-324295473.866481,7879.15362966742,Not saturated
1070002,11561.1748410258,7368.81435010443,4192.36049092141,48638149.5393395,-48626588.3644985,4206.02482300872,Not saturated
1070003,35296.7981495854,24197.9314766218,11098.8666729636,36326783.2616505,-36291486.4635009,1028.18069530556,Not saturated
1070004,65924.141371748,30488.6651500287,35435.4762217193,13354442.3860798,-13288518.244708,201.572867969167,Not saturated
1070005,28340.3160759806,8152.40089001905,20187.9151859615,17543661.0087524,-17515320.6926764,618.035474470989,Not saturated
1070006,87418.5600722145,39811.6731883212,47606.8868838933,16771291.5328633,-16683872.9727911,190.850466525746,Not saturated
1080101,61079.0172741688,49067.8045693801,12011.2127047887,8538975.56612783,-8477896.54885366,138.802111219283,Not saturated
1080102,114492.955882446,95828.0185336423,18664.9373488038,33213978.6007034,-33099485.6448209,289.096262645235,Not saturated
1080103,138609.148931058,120183.901568125,18425.2473629334,3106579.30440199,-2967970.15547093,21.4125126541766,Not saturated
1080104,70446.339376534,61267.4589803911,9178.88039614292,12057411.9863284,-11986965.6469519,170.157395728993,Not saturated
1080105,94141.5620181728,79466.1608828648,14675.401135308,2292985.26007176,-2198843.69805358,23.3567794172475,Not saturated
1080106,155530.892517555,131777.544965139,23753.3475524155,8481900.69187607,-8326369.79935852,53.5351508924101,Not saturated
1080107,90630.6868938671,73540.1822147751,17090.504679092,8962242.32984124,-8871611.64294737,97.8875030853121,Not saturated
1080201,174514.932155412,92089.8533561543,82425.0787992578,6733740.19291059,-6559225.26075518,37.5854672132809,Not saturated
1080202,22973.9781699851,15700.3599857857,7273.61818419938,32449240.4381311,-32426266.4599611,1411.43454651337,Not saturated
1080203,96511.9283892702,64848.7650129392,31663.1633763311,5160620.49163999,-5064108.56325072,52.4713229521764,Not saturated
1080204,79603.1624854113,43496.9546815415,36106.2078038697,582620.544687817,-503017.382202406,6.31906279219237,Not saturated
1080205,124606.860817231,81590.0793276348,43016.7814895962,1400321.84739081,-1275714.98657358,10.2379193104363,Not saturated
1080206,37978.5317599426,11754.9967433765,26223.535016566,3448519.16498845,-3410540.6332285,89.8018031551639,Not saturated
1080207,18821.1343122237,6582.97467610556,12238.1596361182,2399470.81574537,-2380649.68143315,126.488108630466,Not saturated
1090001,42391.7477650665,12209.8617176526,30181.8860474138,2816512.91724877,-2774121.16948371,65.4401225648394,Not saturated
1090002,153581.1526987,52844.5485529817,100736.604145718,1108335.80694823,-954754.654249533,6.21661341559664,Not saturated
1090003,41209.9644882846,20422.2505670302,20787.7139212544,75605400.0318922,-75564190.0674039,1833.63880570404,Not saturated
1090004,214831.470204412,81930.2976739742,132901.172530438,10842349.1767475,-10627517.7065431,49.4690917323751,Not saturated
1090005,141148.508115103,65941.6625844765,75206.8455306263,12915699.9190998,-12774551.4109847,90.5043317961776,Not saturated
1100001,156840.739293276,119296.805008801,37543.9342844749,10874602.0163666,-10717761.2770733,68.3353146980018,Not saturated
1100002,103431.652487577,85811.66391328,17619.9885742973,4909492.00228683,-4806060.34979925,46.4660501327337,Not saturated
1100003,244887.091680537,227339.06972385,17548.0219566874,1069642.58926028,-824755.497579745,3.36790106787525,Not saturated
1100004,13299.9853605156,3274.54099010913,10025.4443704065,3596907.56720409,-3583607.58184357,269.44447566705,Not saturated
1100005,190996.391386389,108471.242735291,82525.1486510984,934847.837005916,-743851.445619527,3.89458376789277,Not saturated
1100006,4604.0991805603,116.363145573374,4487.73603498692,867591.112539804,-862987.013359244,187.438840805819,Not saturated
1110000,376384.233481587,339567.9549339,36816.2785476874,4683338.92766095,-4306954.69417936,11.4429731934828,Not saturated
2010001,340204.846676948,263140.282849683,77064.5638272652,741466.090653951,-401261.243977003,1.17946951049181,Not saturated
2010002,698594.794258545,576002.29236624,122592.501892305,441121.944585837,257472.849672708,-0.368558213987233,Saturated
