HUC_8,P_emitted,P_emittedManure,P_emittedFert,P_uptake,P_balance,P_TES,P Saturation
01010001,165662.01488492842,11238.857425656997,154423.15745927143,675635.9040592754,-509973.889174347,3.0783996532251723,Not saturated
01010002,26016.503217622627,1916.9845306702684,24099.518686952357,2562009.2816784023,-2535992.7784607797,97.47631175672336,Not saturated
01010003,195698.38734554718,11975.555140691717,183722.83220485545,1023203.1863701721,-827504.7990246249,4.228470199723664,Not saturated
01010004,695624.8928695879,43381.75358146285,652243.139288125,19131048.38439795,-18435423.491528362,26.50196058320837,Not saturated
01010005,347509.6858518456,21265.48645264411,326244.1993992015,2602242.0410392415,-2254732.355187396,6.488257585282558,Not saturated
01020001,7020.6752825576905,4563.588743090205,2457.086539467487,10934182.285603134,-10927161.610320576,1556.426008972134,Not saturated
01020002,3990.453241052788,2746.150844832869,1244.3023962199193,5805836.650601423,-5801846.19736037,1453.9316330466984,Not saturated
01020003,78056.5467677608,11349.889389623313,66706.65737813749,3525359.6074654693,-3447303.0606977083,44.164175888466616,Not saturated
01020004,24826.991627983443,13314.321426811477,11512.670201171963,3671779.77959272,-3646952.7879647366,146.8946718399066,Not saturated
01020005,128372.46103782536,102399.57002986084,25972.891007964525,2019384.6826902118,-1891012.2216523865,14.730668917340408,Not saturated
01030001,6642.045677629571,5444.373328458076,1197.6723491714968,8214910.895585095,-8208268.849907465,1235.8043362382975,Not saturated
01030002,3832.955466536551,3373.120821419285,459.83464511726606,9819400.652281862,-9815567.696815325,2560.8353090740834,Not saturated
01030003,1142362.4313673363,1111649.0175730165,30713.413794320044,21615483.003908005,-20473120.572540667,17.921738329608427,Not saturated
01040001,13032.844752125357,10420.12450641495,2612.720245710405,8537883.123509133,-8524850.278757008,654.1051045180908,Not saturated
01040002,230965.27773564364,200591.6976531924,30373.580082451266,4056802.8809845713,-3825837.6032489277,16.564557412079377,Not saturated
01050001,3643.4609216465446,468.09513713958916,3175.365784506956,2498129.4826678517,-2494486.021746205,684.6473930668378,Not saturated
01050002,38491.948418002015,24970.671509069376,13521.276908932641,3171378.758153885,-3132886.809735883,81.39070477062903,Not saturated
01050003,88883.01301012114,85403.65556872709,3479.3574413940514,2585382.2205313165,-2496499.2075211955,28.087472768693363,Not saturated
01050004,16.427186286283668,4.021405227292227,12.405781058991446,21089645.64034697,-21089629.213160682,1283824.8039331026,Not saturated
01060001,27354.686035755672,16414.10000292946,10940.586032826212,5296473.026042132,-5269118.340006376,192.62214646218354,Not saturated
01060002,43317.495277444905,29484.92185005192,13832.573427392983,8311500.529993174,-8268183.034715729,190.87398709825473,Not saturated
01060003,67315.28301757286,38483.42277844323,28831.860239129623,20047976.8637602,-19980661.580742627,296.8220690021702,Not saturated
01070001,41158.66869829896,35480.694099350694,5677.974598948273,324336632.5351795,-324295473.8664812,7879.153629667422,Not saturated
01070002,11561.174841025835,7368.81435010443,4192.360490921407,48638149.53933953,-48626588.3644985,4206.024823008715,Not saturated
01070003,35296.79814958545,24197.931476621845,11098.8666729636,36326783.26165046,-36291486.46350087,1028.180695305563,Not saturated
01070004,65924.14137174794,30488.665150028686,35435.47622171926,13354442.386079775,-13288518.244708028,201.57286796916668,Not saturated
01070005,28340.316075980565,8152.400890019054,20187.91518596152,17543661.008752424,-17515320.692676444,618.0354744709889,Not saturated
01070006,87418.56007221452,39811.67318832118,47606.88688389334,16771291.532863295,-16683872.97279108,190.85046652574584,Not saturated
01080101,61079.017274168786,49067.80456938012,12011.212704788672,8538975.566127833,-8477896.548853664,138.80211121928266,Not saturated
01080102,114492.95588244605,95828.01853364227,18664.93734880376,33213978.60070337,-33099485.644820925,289.09626264523496,Not saturated
01080103,138609.14893105833,120183.90156812491,18425.2473629334,3106579.3044019933,-2967970.155470935,21.4125126541766,Not saturated
01080104,70446.33937653403,61267.45898039112,9178.880396142917,12057411.986328408,-11986965.646951875,170.15739572899346,Not saturated
01080105,94141.56201817279,79466.16088286483,14675.401135307971,2292985.260071757,-2198843.698053584,23.356779417247466,Not saturated
01080106,155530.89251755484,131777.54496513933,23753.347552415533,8481900.691876074,-8326369.79935852,53.53515089241013,Not saturated
01080107,90630.68689386707,73540.1822147751,17090.504679091977,8962242.329841236,-8871611.642947368,97.8875030853121,Not saturated
01080201,174514.93215541216,92089.85335615432,82425.07879925784,6733740.192910587,-6559225.260755176,37.58546721328085,Not saturated
01080202,22973.978169985123,15700.359985785732,7273.618184199384,32449240.438131094,-32426266.45996111,1411.4345465133742,Not saturated
01080203,96511.92838927024,64848.76501293918,31663.16337633107,5160620.4916399885,-5064108.563250719,52.47132295217638,Not saturated
01080204,79603.16248541127,43496.954681541545,36106.207803869715,582620.5446878172,-503017.38220240595,6.319062792192371,Not saturated
01080205,124606.86081723092,81590.07932763477,43016.781489596164,1400321.8473908072,-1275714.9865735762,10.237919310436295,Not saturated
01080206,37978.53175994257,11754.996743376518,26223.53501656605,3448519.164988445,-3410540.6332285027,89.8018031551639,Not saturated
01080207,18821.134312223727,6582.974676105556,12238.159636118171,2399470.8157453733,-2380649.6814331496,126.4881086304662,Not saturated
01090001,42391.74776506645,12209.861717652624,30181.886047413827,2816512.9172487725,-2774121.169483706,65.44012256483941,Not saturated
01090002,153581.15269869973,52844.54855298167,100736.60414571807,1108335.8069482327,-954754.654249533,6.21661341559664,Not saturated
01090003,41209.96448828456,20422.250567030194,20787.713921254366,75605400.03189223,-75564190.06740394,1833.6388057040385,Not saturated
01090004,214831.47020441206,81930.29767397423,132901.17253043785,10842349.176747473,-10627517.70654306,49.46909173237506,Not saturated
01090005,141148.50811510274,65941.66258447645,75206.84553062633,12915699.919099825,-12774551.410984721,90.50433179617757,Not saturated
01100001,156840.73929327642,119296.80500880149,37543.93428447489,10874602.01636658,-10717761.277073303,68.33531469800182,Not saturated
01100002,103431.65248757726,85811.66391327995,17619.988574297342,4909492.002286828,-4806060.349799251,46.46605013273366,Not saturated
01100003,244887.09168053718,227339.06972384985,17548.02195668735,1069642.5892602822,-824755.497579745,3.3679010678752483,Not saturated
01100004,13299.985360515628,3274.5409901091334,10025.444370406494,3596907.567204085,-3583607.5818435694,269.44447566704963,Not saturated
01100005,190996.39138638927,108471.24273529084,82525.1486510984,934847.8370059159,-743851.4456195267,3.894583767892773,Not saturated
01100006,4604.099180560298,116.36314557337398,4487.736034986924,867591.1125398041,-862987.0133592437,187.43884080581907,Not saturated
01110000,376384.23348158697,339567.95493389963,36816.27854768736,4683338.927660947,-4306954.69417936,11.44297319348277,Not saturated
02010001,340204.8466769484,263140.2828496832,77064.5638272652,741466.0906539514,-401261.243977003,1.179469510491814,Not saturated
02010002,698594.7942585454,576002.29236624,122592.5018923053,441121.94458583725,257472.84967270814,-0.3685582139872332,Saturated
02010003,158469.79296160876,117194.63055562078,41275.16240598798,2138489.521872462,-1980019.728910853,12.494619270377521,Not saturated
02010004,38268.60694014214,27114.438000503636,11154.168939638506,1502214.2277346686,-1463945.6207945265,38.254479006365656,Not saturated
02010005,268745.16587433143,215871.5696205893,52873.59625374215,2625720.6224793755,-2356975.456605044,8.770298989144218,Not saturated
02010006,58928.491111099385,42348.84489231493,16579.64621878445,2352103.905069494,-2293175.413958395,38.914544912324544,Not saturated
02010007,641979.0603878829,533969.4633182522,108009.59706963047,1770338.1335377812,-1128359.0731498983,1.7576259768786622,Not saturated
02010008,1470106.1528058883,1116919.9446787292,353186.2081271592,15325448.518035045,-13855342.365229156,9.424722384015901,Not saturated
02020001,10111.021184854113,8039.055264123248,2071.965920730865,3623268.586583235,-3613157.5653983806,357.3484319082171,Not saturated
02020002,29297.49566392533,21358.563724046267,7938.931939879064,2885914.955923316,-2856617.4602593905,97.50381032658734,Not saturated
02020003,857095.5500712191,570552.8641723843,286542.68589883466,1397285.1953040988,-540189.6452328797,0.6302560376004676,Not saturated
02020004,1537594.3614172074,931924.6691651464,605669.692252061,5829300.982530729,-4291706.621113522,2.7911825958816845,Not saturated
02020005,297419.22550085105,198694.52838535004,98724.69711550104,5161691.517141923,-4864272.291641072,16.354935641600456,Not saturated
02020006,622318.6833996518,342375.93187791354,279942.75152173825,1245432.5620294192,-623113.8786297675,1.0012777942416442,Not saturated
02020007,402896.06382535154,150506.31791738234,252389.74590796925,2647089.9354668474,-2244193.8716414957,5.570155861870904,Not saturated
02020008,158120.86754271205,55255.63686118731,102865.23068152473,2458255.5950441933,-2300134.7275014813,14.546686741901176,Not saturated
02030101,56085.23252214672,41817.73184770749,14267.500674439229,23723350.982315,-23667265.749792855,421.98747665791024,Not saturated
02030102,606.9635671480395,42.49255465107667,564.4710124969628,4797164.196410899,-4796557.232843751,7902.545543847877,Not saturated
02030103,31103.425383041445,5650.03461044364,25453.390772597806,1111661.7692177373,-1080558.3438346959,34.740814895064574,Not saturated
02030104,29264.268342135365,895.9615268009477,28368.306815334425,523586.5772833386,-494322.3089412032,16.891668131318582,Not saturated
02030105,373707.2286532108,29030.2456256753,344676.9830275355,1796346.63462917,-1422639.4059759593,3.806828706800655,Not saturated
02030201,23467.7930396653,621.4230569263052,22846.369982738994,4331732.249659525,-4308264.45661986,183.5820031878594,Not saturated
02030202,250272.03966663446,5166.8403742690725,245105.19929236532,5388159.979134087,-5137887.939467453,20.529212717134463,Not saturated
02030203,205.44274909025643,174.3322614240842,31.110487666172233,10663370.842720434,-10663165.399971344,51903.34264504382,Not saturated
02040101,194014.35407913872,139436.93154556066,54577.42253357805,14249529.765730865,-14055515.411651727,72.44575010114181,Not saturated
02040102,44882.447659998375,30234.70275846642,14647.744901531963,1048193.2835226712,-1003310.8358626729,22.354191631061084,Not saturated
02040103,104843.61824356572,94091.0182091178,10752.600034447907,877162.2955156001,-772318.6772720343,7.3663871031027846,Not saturated
02040104,36944.04772260118,6756.360545311805,30187.687177289372,957860.2193949859,-920916.1716723847,24.92732194878034,Not saturated
02040105,962361.8272382844,353866.79309899564,608495.0341392887,2768553.5353209195,-1806191.708082635,1.8768322443398568,Not saturated
02040106,683223.4307233156,322753.0677338488,360470.3629894668,3371211.694626405,-2687988.2639030893,3.9342741232650167,Not saturated
02040201,385372.3129839549,20198.286415746537,365174.0265682084,3693186.692001415,-3307814.37901746,8.583425086781421,Not saturated
02040202,505646.37388139963,59969.10896952457,445677.264911875,1502641.9547645603,-996995.5808831607,1.9717249690334138,Not saturated
02040203,2987092.7001699083,1853494.19820058,1133598.5019693284,3794218.3340582494,-807125.633888341,0.2702044144269212,Not saturated
02040204,0.0,0.0,0.0,1079074.555660863,-1079074.555660863,inf,Not saturated
02040205,1009654.6466255727,247118.2667268253,762536.3798987473,12533407.51112986,-11523752.864504287,11.413558985756676,Not saturated
02040206,993310.795206548,245490.93906274732,747819.8561438008,41608091.94941189,-40614781.154205345,40.8882913084217,Not saturated
02040207,1822447.0066798115,1190597.9347218785,631849.0719579328,22247963.36968154,-20425516.36300173,11.207742276256113,Not saturated
02040301,178310.54765868266,6074.698123161414,172235.84953552127,3172423.370439614,-2994112.8227809314,16.791563158182786,Not saturated
02040302,101227.96052953652,4026.826567618532,97201.133961918,7183092.0487765,-7081864.088246963,69.95956503717765,Not saturated
02040303,1513814.1742914496,1207923.4348084999,305890.73948294966,12534454.01613146,-11020639.84184001,7.28004799333993,Not saturated
02040304,231483.4637375405,130386.56080897266,101096.90292856787,1429626.4148394892,-1198142.9511019487,5.175933225452431,Not saturated
02050101,977366.08140972,709745.3199915652,267620.7614181547,18267384.04246851,-17290017.96105879,17.690421521606574,Not saturated
02050102,928672.042840968,622217.7381342868,306454.3047066812,4812621.5284176385,-3883949.4855766706,4.182261666556688,Not saturated
02050103,401566.5938501049,289699.49049178517,111867.10335831977,1655429.4617762724,-1253862.8679261676,3.122428227668271,Not saturated
02050104,842652.2519570312,554082.4356747344,288569.8162822969,1557322.2755661802,-714670.023609149,0.8481197575267285,Not saturated
02050105,720797.5069318798,456631.4738338068,264166.0330980731,64147463.28882408,-63426665.7818922,87.99512369551861,Not saturated
02050106,1040539.6232438014,842660.6674627706,197878.9557810308,875874.538894302,164665.08434949943,-0.1582497010889108,Saturated
02050107,812427.2391286035,382808.31857471005,429618.92055389343,20947720.40162444,-20135293.162495837,24.784118740396533,Not saturated
02050201,341043.44335418625,151629.42878349536,189414.01457069087,16745648.258198125,-16404604.81484394,48.10121740944056,Not saturated
02050202,46626.38263982526,24221.261623392053,22405.121016433197,7775991.874130903,-7729365.4914910775,165.77236006486058,Not saturated
02050203,64906.138184437215,45282.77062015404,19623.36756428317,4519707.918712316,-4454801.780527879,68.63452217522352,Not saturated
02050204,418215.9395128391,268991.4116410628,149224.52787177626,1740319.6504170392,-1322103.7109042,3.161294407966036,Not saturated
02050205,170948.14880460026,119282.81479304346,51665.334011556784,5020532.070439772,-4849583.921635171,28.36874195799813,Not saturated
02050206,1205853.2014605962,800943.4321606802,404909.76929991593,3107528.558798119,-1901675.3573375228,1.5770372007422697,Not saturated
02050301,1898443.9742007654,1499461.794752913,398982.17944785225,9391953.594149943,-7493509.619949178,3.9471850219356117,Not saturated
02050302,809161.7538362279,528599.3159452063,280562.4378910217,4434420.27585358,-3625258.522017352,4.480264304176559,Not saturated
02050303,686551.0994137651,342936.4112867982,343614.68812696694,6561654.072150185,-5875102.97273642,8.557415431645328,Not saturated
02050304,1729374.4498655582,1379987.0445344457,349387.4053311123,5694745.474601973,-3965371.0247364147,2.2929510870503975,Not saturated
02050305,4302792.629051769,3260242.6551741017,1042549.9738776679,2528655.727188552,1774136.9018632174,-0.4123221950982551,Saturated
02050306,11356411.08291638,9204645.811182374,2151765.271734004,4909444.75682237,6446966.326094011,-0.5676939905594188,Saturated
02060001,0.0,0.0,0.0,7275642.7757458575,-7275642.7757458575,inf,Not saturated
02060002,1436354.066482248,814260.7132878054,622093.3531944426,8951428.732133044,-7515074.665650796,5.2320488666529466,Not saturated
02060003,612524.6756141885,317017.4554180149,295507.22019617364,17492905.736554056,-16880381.060939867,27.55869556440911,Not saturated
02060004,20786.99650446081,11492.410851180724,9294.585653280084,8024266.152417229,-8003479.155912768,385.0233560291046,Not saturated
02060005,1427092.049571435,1052475.1603079059,374616.889263529,13024387.556828527,-11597295.507257093,8.126522399686717,Not saturated
02060006,189211.9098017339,83326.66210946089,105885.24769227304,34216989.8370016,-34027777.92719986,179.83951413447463,Not saturated
02070001,3766052.643161848,3718097.803250241,47954.83991160664,2764769.4143638983,1001283.2287979499,-0.2658707468192231,Saturated
02070002,596417.062049719,513062.3330686882,83354.72898103086,914953.8378973659,-318536.7758476469,0.5340839424561813,Not saturated
02070003,1274927.4424858221,1201253.6327026929,73673.80978312902,2832762.316586865,-1557834.874101043,1.2219008095579267,Not saturated
02070004,3400690.4527196935,2974120.5089714983,426569.9437481955,6068545.080150869,-2667854.627431175,0.78450381312935,Not saturated
02070005,9958270.25928038,9752034.9950146,206235.26426577935,16330832.23112755,-6372561.971847171,0.6399265942705671,Not saturated
02070006,4865618.579768728,4744857.85013317,120760.7296355572,5779455.131405522,-913836.5516367937,0.1878150818143723,Not saturated
02070007,355378.20322469337,266950.36337893625,88427.83984575713,8552319.107304372,-8196940.9040796785,23.065401394066466,Not saturated
02070008,1447780.9650345962,722992.566848281,724788.3981863154,4657526.718100688,-3209745.7530660923,2.217010604908314,Not saturated
02070009,2217163.1341557917,1664313.1205202232,552850.0136355679,1247218.7058165,969944.4283392918,-0.43747093454564784,Saturated
02070010,637990.8955208841,187253.27614909786,450737.6193717862,949878.5444060774,-311887.6488851933,0.48885909042722997,Not saturated
02070011,733074.3565101919,136908.72322354146,596165.6332866505,2258175.678647115,-1525101.322136923,2.0804183212698693,Not saturated
02080102,364230.4636141517,16541.922895860258,347688.5407182915,10105607.951329157,-9741377.487715006,26.74509262913976,Not saturated
02080103,1742271.3894905818,1223333.2791025778,518938.1103880043,16194072.42923661,-14451801.039746027,8.294804774342046,Not saturated
02080104,995593.3254455994,69880.4805994758,925712.8448461236,13092765.571564807,-12097172.246119207,12.15071649933456,Not saturated
02080105,551558.2020502059,96261.14516147472,455297.0568887312,4755870.513247762,-4204312.311197556,7.622608630548215,Not saturated
02080106,1255381.140618911,508556.29783671896,746824.8427821922,1203955.1478436377,51425.99277527328,-0.040964445865356816,Saturated
02080107,59744.946933109335,6401.157154062707,53343.78977904664,1903476.3703177862,-1843731.423384677,30.8600395184705,Not saturated
02080108,2304.239039397215,225.63677226828472,2078.60226712893,3579205.4042732194,-3576901.165233822,1552.3134119668127,Not saturated
02080109,3193332.9086720766,2494688.595949107,698644.3127229704,3432539.739826993,-239206.83115491644,0.07490820343388149,Not saturated
