HUC_8,site_id,latitude,longitude,rec_id,horizon,quartz_pct,tot_k_fs_pct,tot_plag_pct,tot_flds_pct,tot_14a_pct,tot_10a_pct,kaolinit_pct,tot_clay_pct,gibbsite_pct,calcite_pct,dolomite_pct,aragon_pct,tot_carb_pct,analcime_pct,heuland_pct,tot_zeol_pct,gypsum_pct,talc_pct,hornbl_pct,serpent_pct,hematite_pct,goethite_pct,pyroxene_pct,pyrite_pct,other_pct,amorph_pct,ag_ppm,al_pct_q,al_pct,as_ppm,ba_ppm_q,ba_ppm,be_ppm,bi_ppm,c_tot_pct,c_tot_pct_q,c_inorg_pct,c_inorg_pct_q,c_org_pct,ca_pct,cd_ppm,ce_ppm,co_ppm,cr_ppm,cs_ppm,cu_ppm,fe_pct,ga_ppm_q,ga_ppm,hg_ppm,in_ppm,k_pct,la_ppm,li_ppm,mg_pct,mn_ppm,mo_ppm,na_pct,nb_ppm,ni_ppm,p_ppm,pb_ppm,rb_ppm,s_pct,sb_ppm,sc_ppm,se_ppm,sn_ppm,sr_ppm,te_ppm,th_ppm,ti_pct_q,ti_pct,tl_ppm,u_ppm,v_ppm,w_ppm,y_ppm_q,y_ppm,zn_ppm,Unnamed: 125,M3P_ppm,Soil Fertility Level
01010001,5041.0,46.8334,-68.8746,1657.5,,47.45,1.5,12.1,12.85,7.5,13.95,,21.45,,,,,,,,,,,,,,,,,,18.25,,,5.8149999999999995,9.7,,393.0,1.45,0.14,2.855,,,,2.855,0.62,0.15000000000000002,64.2,13.649999999999999,74.0,,36.25,3.395,,14.850000000000001,0.035,0.05,1.675,30.6,37.5,1.025,681.5,0.855,1.025,6.05,45.25,995.0,19.200000000000003,85.5,0.07,0.535,11.45,,1.6,85.0,,7.45,,0.21500000000000002,0.45,2.1,77.5,0.4,,16.25,77.5,,316.37256528617166,Excessive
01010002,233.0,47.0121,-69.1171,1638.0,,56.6,2.4,9.1,11.4,6.2,16.4,,22.6,,,,,,,,,,,,,,,,,,9.4,,,4.95,4.5,,292.0,0.8,0.22,10.2,,,,10.2,0.15,0.2,52.0,4.4,67.0,,7.7,4.08,,18.7,0.07,0.06,1.2,25.5,21.0,0.44,197.0,0.44,0.5,4.6,17.6,730.0,16.6,80.9,0.05,0.31,10.9,0.4,1.9,43.3,,7.2,,0.19,0.5,1.6,96.0,0.2,,7.5,49.0,,166.86830438988932,Excessive
01010003,4329.0,46.9987,-68.622,1655.0,,48.3,0.6,11.8,12.4,5.5,11.0,,16.5,,,,,,,,,,,,,,,,,,22.8,,,5.46,7.1,,401.0,1.5,0.17,5.0,,,,5.0,0.34,0.2,63.2,13.7,69.0,,11.1,2.99,,15.0,0.06,0.05,1.31,29.6,42.0,0.66,1430.0,0.42,0.91,4.2,30.3,820.0,23.2,98.4,0.04,0.37,10.4,,1.8,83.2,,7.7,,0.19,0.5,1.9,81.0,0.3,,11.7,94.0,,211.43056711513373,Excessive
01010004,2681.0,46.771,-68.3926,1649.0,,39.849999999999994,1.2,12.850000000000001,14.05,6.449999999999999,12.15,,18.6,,,,,,,,,,,,,,,,,,27.45,,,5.785,10.8,,408.5,1.4500000000000002,0.14500000000000002,4.845,,,,4.845,0.5700000000000001,0.35,55.05,14.9,67.5,,27.6,3.535,,14.05,0.11000000000000001,0.055,1.455,26.6,35.0,0.9249999999999999,691.0,0.6950000000000001,1.06,6.65,35.45,1595.0,17.35,78.6,0.05,0.495,12.05,0.2,1.75,92.1,,7.45,,0.325,0.4,2.2,101.5,0.55,,14.9,108.0,,619.4659231061851,Excessive
01010005,7993.0,46.3507,-67.9118,1672.0,,36.8,0.7,11.9,12.6,9.8,17.4,,27.1,,,,,,,,,,,,,,,,,,23.5,,,6.41,9.0,,375.0,1.4,0.2,5.06,,,,5.06,0.71,0.4,59.2,16.6,69.0,,30.7,4.11,,15.8,0.09,0.06,1.77,27.2,43.0,1.05,1040.0,0.5,1.08,4.5,47.8,840.0,23.0,93.3,0.04,0.73,13.7,,1.9,97.7,,7.9,,0.22,0.5,1.8,96.0,0.4,,16.4,99.0,,221.6315114299139,Excessive
01020001,3086.75,45.894825,-69.48075,1623.25,,50.900000000000006,7.066666666666666,14.025,19.3,5.875,9.774999999999999,1.8,16.1,,,,,,,,,,,,,,,,,,13.725000000000001,,,5.1975,7.4,,419.25,1.575,0.1675,3.1075,,,,3.1075,0.4425,0.36666666666666664,54.75,8.850000000000001,49.0,,14.674999999999999,2.5225,,14.175,0.05333333333333334,0.0475,1.6275000000000002,25.725,28.75,0.5925,550.5,0.6225,1.0225,5.775,20.875,620.0,23.55,91.55000000000001,0.03666666666666667,0.6,9.475,0.35,1.85,69.1,,7.825,,0.17500000000000002,0.475,1.8250000000000002,67.5,0.6,,13.725000000000001,107.0,,122.37506258083401,Excessive
01020002,3897.0,46.1246,-68.5642,1653.0,,45.6,1.4,13.1,14.5,7.9,12.9,,20.8,,,,,,,,,,,,,,,,,,19.1,,,5.66,22.8,,298.0,1.3,0.24,5.19,,,,5.19,0.45,0.4,54.3,13.6,68.0,,47.8,4.07,,16.3,0.24,0.07,1.03,25.7,26.0,0.79,694.0,0.81,0.99,7.1,28.6,1420.0,25.2,68.0,0.06,0.94,12.7,0.6,2.2,70.2,,7.1,,0.36,0.4,2.2,117.0,0.7,,11.9,94.0,,532.5308516784202,Excessive
01020003,1849.0,45.6972,-68.1177,1644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26,20.1,,280.0,1.3,0.22,8.65,,,,,0.43,0.3,38.6,10.5,64.0,,11.7,3.6,,13.7,0.18,0.06,1.03,17.5,33.0,0.45,798.0,0.69,0.89,5.1,22.0,1280.0,20.7,68.6,0.05,0.67,9.4,0.9,1.8,60.0,,7.2,,0.22,0.4,1.7,83.0,0.4,,9.4,97.0,,457.0004604447052,Excessive
01020005,2706.6,45.05854,-68.6988,1648.0,,49.339999999999996,4.8,14.559999999999999,19.3,5.26,9.44,,14.66,,,,,,,,,,,1.0,,,,,,,16.479999999999997,1.0,,5.808,11.34,,361.6,1.6599999999999997,0.17,3.414,,,,3.414,0.522,0.22499999999999998,51.720000000000006,10.440000000000001,60.2,,14.1,2.9879999999999995,,14.5,0.088,0.052000000000000005,1.552,23.139999999999997,33.0,0.6799999999999999,725.2,0.64,1.052,6.08,30.060000000000002,792.0,24.1,88.66,0.038,0.694,9.879999999999999,0.44000000000000006,2.88,70.34,,7.0200000000000005,,0.24,0.5,1.7599999999999998,68.0,9.080000000000002,,10.02,79.8,,204.58851356950166,Excessive
01030001,5641.0,45.664699999999996,-69.94444999999999,1661.0,,54.6,1.45,11.7,13.2,2.8,7.9,,10.7,,,,,,,,,,,,,,,,,,21.55,,,3.6,4.75,,295.5,0.65,0.195,11.35,,,,11.35,0.49,0.6,23.9,4.05,31.5,,12.75,1.7400000000000002,,9.85,0.09,0.03,0.93,11.55,11.0,0.345,893.5,0.53,0.8699999999999999,3.8,13.0,930.0,61.400000000000006,54.0,0.05500000000000001,0.485,6.2,0.3,2.55,55.849999999999994,,3.7,,0.155,0.35,1.1,48.0,0.45,,5.800000000000001,94.5,,268.8153328184232,Excessive
