HUC_8,latitude,longitude,Total phosphorus concentration in soil (ppm),Mehlich-3 (M3) phosphorus concentration in soil (ppm),Soil Fertility Level
1010001,46.8334,-68.8746,995,316.372565286172,Excessive
1010002,47.0121,-69.1171,730,166.868304389889,Excessive
1010003,46.9987,-68.622,820,211.430567115134,Excessive
1010004,46.771,-68.3926,1595,619.465923106185,Excessive
1010005,46.3507,-67.9118,840,221.631511429914,Excessive
1020001,45.894825,-69.48075,620,122.375062580834,Excessive
1020002,46.1246,-68.5642,1420,532.53085167842,Excessive
1020003,45.6972,-68.1177,1280,457.000460444705,Excessive
1020005,45.05854,-68.6988,792,204.588513569502,Excessive
1030001,45.6647,-69.94445,930,268.815332818423,Excessive
1030003,44.8124333333333,-69.8380833333333,786.666666666667,210.905487911623,Excessive
1040001,44.9692,-70.9377,675,146.590154189218,Excessive
1040002,44.3837333333333,-70.6712,636.666666666667,126.961447809257,Excessive
1050001,45.3386,-68.07825,635,129.503129400068,Excessive
1050002,44.7923333333333,-68.0300166666667,686.666666666667,155.440181283345,Excessive
1060001,43.7801,-70.253,353.333333333333,31.4273084804419,Medium
1060002,43.8029,-70.856,1280,457.000460444705,Excessive
1060003,43.2012,-70.6204,530,80.3452199475923,Excessive
1070001,43.79015,-71.70485,560,96.6839092783622,Excessive
1070002,42.98895,-71.343225,617.5,122.458337325575,Excessive
1080101,44.450175,-71.717475,525,86.458136148404,Excessive
1080104,43.5364,-72.3427,950,279.078054952494,Excessive
1080105,44.0256,-72.8323,580,99.8287147181475,Excessive
1080201,42.8829,-72.1992,550,87.9322359360527,Excessive
1080204,42.3433,-72.31485,710,179.015608039882,Excessive
1080205,41.7146,-72.5546,1110,364.936050732745,Excessive
1080206,42.3215,-72.8694,740,171.693180500764,Excessive
1080207,41.9638,-73.0134,490,66.0659223835927,Excessive
1090001,42.0975,-71.3255,660,134.208229602049,Excessive
1090002,41.5902,-70.6295,190,4.46064633966264,Very Low
1090003,42.2028,-71.7106,1250,440.760198641864,Excessive
1090004,41.7845,-70.8707,340,24.7764815765805,Low
1090005,41.6726,-71.7932,420,44.2450369748607,Optimum
1100004,41.2768,-73.0257,1100,359.529818420124,Excessive
1100005,41.836975,-73.390225,977.5,296.885556624322,Excessive
1110000,44.9286,-72.2772,1410,527.153912248272,Excessive
2010001,43.53035,-73.27455,840,221.904353106479,Excessive
2010002,43.4081,-72.9892,540,84.1030336466222,Excessive
2010003,44.2764,-72.6186,260,11.4244434152116,Very Low
2010004,44.48985,-73.4272,715,160.799401392542,Excessive
2010005,44.71645,-73.1633,955,357.674895898847,Excessive
2010006,44.36765,-74.00815,175,4.9199293224017,Very Low
2010007,45.0073,-73.0834,850,226.765184121466,Excessive
2020001,43.9696,-74.2136,1690,676.353011576482,Excessive
2020002,43.4076,-74.258,650,129.721954544349,Excessive
2020003,43.0211666666667,-73.4547,943.333333333333,283.116147503306,Excessive
2020004,43.2292166666667,-74.9556666666667,706.666666666667,178.743994065926,Excessive
2020005,42.52035,-74.3765,550,92.9211150031644,Excessive
2020006,42.2388666666667,-73.8593666666667,680,154.775163095848,Excessive
2020008,41.6405,-73.96535,830,217.680285159239,Excessive
2030101,41.2074,-73.9764,655,135.836481071005,Excessive
2030103,40.9813,-74.0312,670,138.74287242339,Excessive
2030104,40.3259,-74.2198,1170,397.417889976874,Excessive
2030105,40.66955,-74.68545,945,287.931486523916,Excessive
2040102,41.9284,-74.9001,80,0.30586077884592,Very Low
2040103,41.56985,-75.32845,920,268.080381200132,Excessive
