rec_id,lab_id,site_id,horizon,depth_cm,quartz_pct,tot_k_fs_pct,tot_plag_pct,tot_flds_pct,tot_14a_pct,tot_10a_pct,kaolinit_pct,tot_clay_pct,gibbsite_pct,calcite_pct,dolomite_pct,aragon_pct,tot_carb_pct,analcime_pct,heuland_pct,tot_zeol_pct,gypsum_pct,talc_pct,hornbl_pct,serpent_pct,hematite_pct,goethite_pct,pyroxene_pct,pyrite_pct,other_pct,amorph_pct,ag_ppm_q,ag_ppm,al_pct_q,al_pct,as_ppm_q,as_ppm,ba_ppm_q,ba_ppm,be_ppm_q,be_ppm,bi_ppm_q,bi_ppm,c_tot_pct,c_tot_pct_q,c_inorg_pct,c_inorg_pct_q,c_org_pct,c_org_pct_q,ca_pct_q,ca_pct,cd_ppm_q,cd_ppm,ce_ppm_q,ce_ppm,co_ppm_q,co_ppm,cr_ppm_q,cr_ppm,cs_ppm_q,cs_ppm,cu_ppm_q,cu_ppm,fe_pct_q,fe_pct,ga_ppm_q,ga_ppm,hg_ppm_q,hg_ppm,in_ppm_q,in_ppm,k_pct_q,k_pct,la_ppm_q,la_ppm,li_ppm_q,li_ppm,mg_pct_q,mg_pct,mn_ppm_q,mn_ppm,mo_ppm_q,mo_ppm,na_pct_q,na_pct,nb_ppm_q,nb_ppm,ni_ppm_q,ni_ppm,p_ppm_q,p_ppm,pb_ppm_q,pb_ppm,rb_ppm_q,rb_ppm,s_pct_q,s_pct,sb_ppm_q,sb_ppm,sc_ppm_q,sc_ppm,se_ppm_q,se_ppm,sn_ppm_q,sn_ppm,sr_ppm_q,sr_ppm,te_ppm_q,te_ppm,th_ppm_q,th_ppm,ti_pct_q,ti_pct,tl_ppm_q,tl_ppm,u_ppm_q,u_ppm,v_ppm_q,v_ppm,w_ppm_q,w_ppm,y_ppm_q,y_ppm,zn_ppm_q,zn_ppm,
1,C-328943,96,,2-30,93.4,0.5,,0.5,,2.1,,2.1,,,,,,,,,,,,,,,,,,4.1,<1,,,0.87,,1.6,,49,,0.2,,0.08,0.71,,,,0.71,,,0.07,<0.1,,,25.2,,1.2,,11,<5,,,4.4,,0.57,,1.96,,0.01,<0.02,,,0.09,,11.4,,5,,0.03,,81,,0.34,<0.01,,,5.2,,3.2,,260,,6.8,,8.4,<0.01,,,0.19,,1.6,<0.2,,,0.5,,6.2,<0.1,,,4.4,,0.24,<0.1,,,1.4,,14,,0.3,,3.8,,15
2,C-328929,208,,0-20,93.3,3.5,,3.5,,,,,,,,,,,,,,,,,,,,,,3.2,<1,,,1.15,,1.5,,118,,0.4,,0.1,0.88,,,,0.88,,,0.02,<0.1,,,27.8,,2.4,,14,<5,,,6.1,,0.54,,2.24,,0.02,<0.02,,,0.25,,13.8,,8,,0.05,,191,,0.36,,0.02,,3.5,,4.6,,170,,11.6,,20,<0.01,,,0.23,,1.6,<0.2,,,0.5,,15.2,<0.1,,,3.2,,0.13,,0.2,,1.1,,16,,0.3,,4.9,,17
3,C-328930,288,,0-20,97.7,,,,,,,,,,,,,,,,,,,,,,,,,2.3,<1,,,1.05,,1.2,,34,,0.2,,0.07,0.65,,,,0.65,,,0.05,<0.1,,,42.2,,1,,8,<5,,,10.9,,0.38,,1.98,<0.01,,<0.02,,,0.05,,23.4,,5,,0.03,,249,,0.41,<0.01,,,3.4,,4.2,,510,,7,,5.7,<0.01,,,0.19,,1.4,<0.2,,,0.6,,3.9,<0.1,,,3,,0.13,<0.1,,,1,,12,,0.4,,16.3,,19
4,C-329034,656,,0-20,74.4,,,,,6.9,5,11.9,,,,,,,,,,,,,,,,,,13.8,<1,,,4.17,,3.7,,316,,1.1,,0.16,1.14,,,,1.14,,,0.05,<0.1,,,41.7,,7,,28,<5,,,13.8,,2.38,,9.53,,0.03,,0.03,,0.89,,20.6,,21,,0.16,,228,,1.19,,0.06,,8.4,,11.5,,200,,14,,57.8,,0.01,,0.62,,7.5,,0.5,,1.3,,30.4,<0.1,,,8.2,,0.31,,0.5,,2.4,,56,,0.8,,8.8,,32
5,C-328968,912,,0-5,88.9,2.9,,2.9,,2.6,,2.6,,,,,,,,,,,,,,,,,,5.6,<1,,,1.51,,2.7,,179,,0.6,,0.09,1.36,,,,1.36,,,0.03,<0.1,,,61.7,,6.1,,17,<5,,,5.2,,1.06,,3.29,,0.03,<0.02,,,0.44,,21,,6,,0.06,,321,,0.48,,0.06,,0.6,,6.9,,200,,14.5,,24.6,,0.01,,0.1,,2.2,<0.2,,,0.4,,21.9,<0.1,,,5,,0.05,,0.3,,1.4,,21,<0.1,,,8.4,,32
6,C-329029,1232,,0-10,82.3,0.6,,0.6,,5.5,4,9.4,,,,,,,,,,,,,,,,,,7.6,<1,,,2.78,,4.3,,160,,0.5,,0.19,1.71,,,,1.71,,,0.02,<0.1,,,32.6,,3.5,,30,<5,,,8.4,,1.66,,6.43,,0.05,,0.02,,0.46,,16.3,,17,,0.11,,96,,0.66,,0.05,,9.1,,8.4,,190,,15.4,,31.8,,0.01,,0.46,,4.1,,0.4,,1,,27.2,<0.1,,,7.1,,0.28,,0.4,,2.2,,37,,0.7,,6.7,,28
7,C-328984,1312,,0-25,88.4,,,,,,4,4,1.2,,,,,,,,,,,,,,,,,6.4,<1,,,2.14,,2.7,,50,,0.3,,0.16,0.89,,,,0.89,,,0.04,<0.1,,,48.6,,1.5,,17,<5,,,15.1,,0.9,,4.22,,0.02,<0.02,,,0.1,,22.3,,9,,0.04,,155,,0.76,<0.01,,,7.1,,7.7,,680,,10.5,,9,<0.01,,,0.3,,3.1,,0.2,,1.1,,6.7,<0.1,,,7.2,,0.3,,0.1,,2,,27,,0.6,,9.1,,26
8,C-329033,1488,,0-30,79.7,,,,,3.5,,3.5,,,,,,,,,,,,,,,,,,16.8,<1,,,1.83,,3.7,,185,,0.5,,0.21,4.59,,,,4.59,,,0.24,,0.2,,44.9,,3.9,,22,<5,,,10.1,,1.12,,4.65,,0.09,<0.02,,,0.33,,20.9,,18,,0.1,,598,,0.72,,0.04,,6.1,,7,,440,,26.6,,24.7,,0.03,,0.4,,2.5,,0.4,,1.3,,27.9,<0.1,,,5.9,,0.18,,0.3,,1.9,,30,,0.4,,9.4,,48
9,C-328905,1680,,0-20,92.3,,,,,2.6,3.4,6,,,,,,1.8,,1.8,,,,,,,,,,,<1,,,1.78,,2.9,,77,,0.4,,0.15,2.32,,,,2.32,,<0.01,,<0.1,,,39.1,,1.3,,22,<5,,,3.2,,1.47,,4.81,,0.03,,0.03,,0.21,,21.1,,8,,0.04,,76,,0.22,<0.01,,,2.1,,3.8,,100,,13.2,,14.3,<0.01,,,0.18,,3.1,,0.3,,1,,10.4,<0.1,,,9.2,,0.35,,0.1,,1.9,,26,<0.1,,,5.7,,20
10,C-328969,1824,,0-20,90.3,,,,,3.1,,3.1,,,,,,,,,,,,,,,,,,6.6,<1,,,1.23,,3,,41,,0.2,,0.12,0.89,,,,0.89,,,0.04,<0.1,,,23.7,,1.2,,10,<5,,,9.2,,1.4,,2.77,,0.02,<0.02,,,0.1,,12.8,,4,,0.06,,45,,0.27,<0.01,,,0.1,,3.5,,320,,12,,11.3,<0.01,,,0.12,,1.7,,0.3,,0.9,,8.7,<0.1,,,4.8,,0.02,,0.1,,0.9,,22,<0.1,,,2.4,,34
11,C-328908,2144,,0-15,92.3,0.2,,0.2,,2.2,,2.2,,,,,,,,,,,,,,,,,,5.3,<1,,,1.48,,2.3,,54,,0.2,,0.12,3.1,,,,3.1,,,0.04,<0.1,,,27,,1,,17,<5,,,9.7,,0.64,,3.58,,0.05,<0.02,,,0.1,,14.2,,7,,0.03,,278,,0.66,<0.01,,,7,,4.5,,130,,14.3,,8.8,,0.02,,0.36,,2.4,,0.3,,1,,8.6,<0.1,,,5.8,,0.25,,0.1,,1.2,,20,,0.4,,4.8,,10
12,C-328936,2336,,0-30,97,,,,,3,,3,,,,,,,,,,,,,,,,,,,<1,,,0.91,,1.5,,43,,0.2,,0.08,0.6,,,,0.6,,<0.01,,<0.1,,,87.1,,0.6,,10,<5,,,48.1,,0.56,,2.37,,0.02,<0.02,,,0.11,,41.8,,5,,0.03,,73,,0.67,<0.01,,,5.1,,2.6,,250,,10,,10.7,<0.01,,,0.15,,1.4,<0.2,,,0.5,,6.1,<0.1,,,17.4,,0.29,,0.1,,3.2,,16,,0.2,,7.5,,12
13,C-328917,2704,,0-5,55.3,0.8,,0.8,,21.4,6.8,28.1,,,,,,,,,,,,,,1.3,,,,14.5,<1,,,7.33,,23.9,,412,,2.4,,0.31,2.99,,,,2.99,,,0.05,<0.1,,,217,,3.7,,31,<5,,,22.3,,2.71,,17.6,,0.05,,0.08,,1.77,,106,,21,,0.19,,258,,0.85,,0.21,,9,,9,,510,,19.3,,96.6,,0.02,,0.39,,11.1,,0.7,,2.2,,48,<0.1,,,19.6,,0.23,,0.7,,3.3,,48,,0.8,,12,,23
14,C-329074,2768,,0-20,83.5,,,,,1.7,2.9,4.6,,,,,,,,,,,,,,,,,,12,<1,,,1.45,,2.3,,88,,0.4,,0.12,3.66,,,,3.66,,,0.32,<0.1,,,45.1,,1.5,,11,<5,,,6.5,,0.61,,3.37,,0.05,<0.02,,,0.17,,22.5,,7,,0.17,,221,,0.4,,0.02,,6.5,,3.7,,530,,14.8,,12.1,,0.02,,0.22,,1.9,<0.2,,,0.6,,14,<0.1,,,9.5,,0.19,,0.1,,1.7,,16,,0.5,,5.1,,18
15,C-328928,2848,,0-15,54.8,0.3,,0.3,2.7,9.5,8.7,20.9,,,,,,,,,,,,,,,,,,24,<1,,,6.18,,10,,213,,1.6,,0.4,2.23,,,,2.23,,,0.25,,0.1,,88.5,,10.1,,90,<5,,,14.5,,3.23,,13.4,,0.05,,0.07,,0.65,,38.9,,76,,0.33,,604,,1.55,,0.08,,16.7,,26.9,,800,,33.2,,59.3,,0.03,,0.94,,10.8,,0.8,,2.9,,47.7,<0.1,,,14.9,,0.47,,0.6,,4.7,,91,,1,,14.8,,80
